Cedula;Nombre;ApellidoP;ApellidoM;Domicilio;Telefono;Carrera;Facultad
0192030312;Josue;Malla;Campoverde;Huaquillas;0964007642;TI;Ing. Civil
0918237837;Fernando;Jaya;Erraez;Pasaje;0964007642;Civil;Ing. Civil
0112378733;Francisco;Mujica;de los Monteros;Pasaje;0964007642.0;Ambiental;Ing. Civil
0123878483;Johnny;Arica;Prado;Pasaje;0964235642;TI;Ing. Civil
0183278478;Manuelito;Hurtado;Feliscisimo;Machala;0967734821.0;Civil;Ing. Civil
0189238943;Martin;Peña;Delfin;Tumbes;0917236145;Ambiental;Ing. Civil
0812938748;Kevin;Roman;Armijos;El Guabo;0964278347;TI;Ing. Civil
1028398439;Pedro;Ramon;Sornoza;Guayakill;098173267;Civil;Ing. Civil
0138742892;Moises;Caicedo;Corozo;Santo Domingo;0916712637;Ambiental;Ing. Civil
0123974782;Enner;Valencia;Lastra;San Lorenzo;0981723612;TI;Ing. Civil
0505975357;Bruno;Diaz;Hurtado;Santa rosa;009983784;Ing TI;Ing civil
